Time,AD3_0_ai0,AD3_0_ai1
49.2 sec,2.96892229685676,3.0329050579555
49.3 sec,2.96800940055603,3.03199106975709
49.4 sec,2.96800940055603,3.03199106975709
49.5 sec,2.96800940055603,3.03107708155867
49.6 sec,2.96800940055603,3.03199106975709
49.7 sec,2.96800940055603,3.03107708155867
49.8 sec,2.96800940055603,3.03107708155867
49.9 sec,2.96800940055603,3.03107708155867
50 sec,2.96800940055603,3.03199106975709
50.1 sec,2.96892229685676,3.0329050579555
50.2 sec,2.96983519315748,3.0329050579555
50.3 sec,2.96892229685676,3.0329050579555
50.4 sec,2.96983519315748,3.03199106975709
50.5 sec,2.96983519315748,3.0329050579555
50.6 sec,2.96892229685676,3.03199106975709
50.7 sec,2.96892229685676,3.0329050579555
50.8 sec,2.96983519315748,3.03199106975709
50.9 sec,2.96983519315748,3.03199106975709
51 sec,2.96800940055603,3.03199106975709
51.1 sec,2.96800940055603,3.03107708155867
51.2 sec,2.96800940055603,3.03107708155867
51.3 sec,2.96983519315748,3.03199106975709
51.4 sec,2.96892229685676,3.03107708155867
51.5 sec,2.96983519315748,3.0329050579555
51.6 sec,2.96892229685676,3.03199106975709
51.7 sec,2.96892229685676,3.03199106975709
51.8 sec,2.96800940055603,3.03199106975709
51.9 sec,2.96892229685676,3.03199106975709
52 sec,2.96892229685676,3.03199106975709
52.1 sec,2.96983519315748,3.03199106975709
52.2 sec,2.96983519315748,3.03199106975709
52.3 sec,2.96983519315748,3.03199106975709
52.4 sec,2.96983519315748,3.03199106975709
52.5 sec,2.96892229685676,3.03199106975709
52.6 sec,2.96892229685676,3.03199106975709
52.7 sec,2.96983519315748,3.03199106975709
52.8 sec,2.96800940055603,3.03016309336026
52.9 sec,2.96983519315748,3.0329050579555
53 sec,2.96983519315748,3.0329050579555
53.1 sec,2.96892229685676,3.03199106975709
53.2 sec,2.96892229685676,3.03107708155867
53.3 sec,2.96983519315748,3.03199106975709
53.4 sec,2.96892229685676,3.03199106975709
53.5 sec,2.96983519315748,3.03199106975709
53.6 sec,2.96983519315748,3.03199106975709
53.7 sec,2.96892229685676,3.03107708155867
53.8 sec,2.96983519315748,3.03199106975709
53.9 sec,2.96983519315748,3.03199106975709
54 sec,2.96983519315748,3.03199106975709
54.1 sec,2.97074808945821,3.03107708155867
54.2 sec,2.97074808945821,3.03199106975709
